片名,上映日期,票房(万元),平均票价,场均人次
刺杀小说家,2021-02-12 上映,103520,47.265385,16
惊奇队长,2019-03-08 上映,103517,37.17914,14
前任4：英年早婚,2023-09-28 上映,101229,42.32929,10
狂暴巨兽,2018-04-13 上映,100397,34.81579,13
盗墓笔记,2016-08-05 上映,100310,35.231415,27
功夫熊猫3,2016-01-29 上映,100054,35.606182,25
速度与激情10,2023-05-17 上映,98476,37.62571,9
熊出没·重返地球,2022-02-01 上映,97772,46.636467,16
奇幻森林,2016-04-15 上映,97684,33.531403,24
澳门风云2,2015-02-19 上映,97263,39.20782,36
比悲伤更悲伤的故事,2019-03-14 上映,95843,30.736097,15
哥斯拉大战金刚2：帝国崛起,2024-03-29 上映,95693,42.801792,7
西游记之大圣归来,2015-07-10 上映,95462,34.659386,34
哥斯拉2：怪兽之王,2019-05-31 上映,93740,36.072906,14
穿过寒冬拥抱你,2021-12-31 上映,93685,42.4282,10
无名,2023-01-22 上映,93143,52.474125,17
扬名立万,2021-11-11 上映,92669,38.033257,7
深海,2023-01-22 上映,91953,46.549366,11
热烈,2023-07-28 上映,91331,41.39644,15
超时空同居,2018-05-18 上映,90307,33.010834,12
老炮儿,2015-12-24 上映,90116,31.459543,38
阿丽塔：战斗天使,2019-02-22 上映,89693,37.834686,14
绝地逃亡,2016-07-21 上映,88769,34.733532,25
智取威虎山,2014-12-23 上映,88348,41.35338,28
十二生肖,2012-12-20 上映,88176,40.26582,37
银河补习班,2019-07-18 上映,87832,34.11227,16
星际穿越,2014-11-12 上映,87697,35.246487,23
志愿军：雄兵出击,2023-09-28 上映,86891,42.22734,9
碟中谍5：神秘国度,2015-09-08 上映,86806,32.779945,26
温暖的抱抱,2020-12-31 上映,86417,37.13129,11
冰雪奇缘2,2019-11-22 上映,86077,34.397697,11
我的姐姐,2021-04-02 上映,86025,36.802353,9
巨齿鲨2：深渊,2023-08-04 上映,85136,42.33687,14
长空之王,2023-04-28 上映,85059,41.857983,10
夺冠,2020-09-25 上映,83679,38.80738,10
狮子王,2019-07-12 上映,83387,35.99164,16
蚁人2：黄蜂女现身,2018-08-24 上映,83157,36.05231,15
星球大战：原力觉醒,2016-01-09 上映,82426,37.234848,24
唐人街探案,2015-12-31 上映,82334,31.746136,33
你的婚礼,2021-04-30 上映,82278,37.590664,14
从你的全世界路过,2016-09-29 上映,81334,31.217215,22
铃芽之旅,2023-03-24 上映,80790,33.219936,9
X战警：天启,2016-06-03 上映,80091,34.448685,23
反贪风暴4,2019-04-04 上映,79905,34.990177,11
无名之辈,2018-11-16 上映,79452,34.597515,12
你想活出怎样的人生,2024-04-03 上映,79116,38.8863,7
异形：夺命舰,2024-08-16 上映,78636,40.556637,7
北京遇上西雅图之不二情书,2016-04-29 上映,78538,33.51533,24
末路狂花钱,2024-05-01 上映,78180,40.081097,7
蜘蛛侠：英雄归来,2017-09-08 上映,77477,35.15436,16
叶问3,2016-03-04 上映,76948,38.843933,23
人潮汹涌,2021-02-12 上映,76237,41.317425,10
霍比特人3：五军之战,2015-01-23 上映,76129,45.45982,30
大闹天竺,2017-01-28 上映,75611,35.56586,31
钢铁侠3,2013-05-01 上映,75486,41.834854,33
无问西东,2018-01-12 上映,75432,31.431118,18
奇异博士,2016-11-04 上映,75020,34.8847,18
神秘巨星,2018-01-19 上映,74708,30.02213,17
雷神3：诸神黄昏,2017-11-03 上映,74371,35.466118,15
天将雄师,2015-02-19 上映,74201,40.640205,38
猩球崛起3：终极之战,2017-09-15 上映,74051,34.9678,16
金刚狼3：殊死一战,2017-03-03 上映,73008,32.372185,16
西游记女儿国,2018-02-16 上映,72741,39.74682,33
X战警：逆转未来,2014-05-23 上映,72293,37.240368,29
终结者：创世纪,2015-08-23 上映,72240,36.772095,24
致我们终将逝去的青春,2013-04-26 上映,71902,31.97473,36
美国队长2,2014-04-04 上映,71898,39.05371,29
熊出没·原始时代,2019-02-05 上映,71740,39.03554,22
私人订制,2013-12-19 上映,71347,35.469856,30
你的名字。,2016-12-02 上映,71324,29.357342,16
神探大战,2022-07-08 上映,71215,37.893658,8
猩球崛起2：黎明之战,2014-08-29 上映,70732,36.77872,28
三大队,2023-12-15 上映,70586,42.258663,8
一闪一闪亮星星,2023-12-30 上映,70239,41.99999,13
使徒行者2：谍影行动,2019-08-07 上映,70228,36.29202,17
画皮2,2012-06-28 上映,70202,41.05247,37
保你平安,2023-03-10 上映,70078,42.164967,6
狼图腾,2015-02-19 上映,70075,39.397194,34
铁道飞虎,2016-12-23 上映,69929,36.7024,18
悟空传,2017-07-13 上映,69685,35.916782,17
爸爸去哪儿,2014-01-31 上映,69652,31.801163,40
环太平洋,2013-07-31 上映,69540,40.411037,38
正义联盟,2017-11-17 上映,69058,35.48468,13
银河护卫队2,2017-05-05 上映,68615,37.273075,17
九龙城寨之围城,2024-05-01 上映,68500,41.041557,7
宠爱,2019-12-31 上映,68364,34.891582,9
毒液：最后一舞,2024-10-23 上映,68295,41.331917,6
九层妖塔,2015-09-30 上映,68132,34.347466,30
明日战记,2022-08-05 上映,67947,41.25766,7
寒战2,2016-07-08 上映,67661,36.547977,27
碟中谍4,2012-01-28 上映,67211,35.086987,43
蚁人,2015-10-16 上映,67035,36.10703,22
摩天营救,2018-07-20 上映,66981,35.184887,18
周处除三害,2024-03-01 上映,66573,39.486576,7
分手大师,2014-06-27 上映,66509,33.37043,34
莫斯科行动,2023-09-29 上映,66413,42.59532,9
灌篮高手,2023-04-20 上映,66351,36.30264,9
黑豹,2018-03-09 上映,66260,36.069355,17
情圣,2016-12-30 上映,65790,31.282188,18
变形金刚：超能勇士崛起,2023-06-09 上映,65570,37.40332,9
唐山大地震,2010-07-22 上映,65006,37.08066,61
恶棍天使,2015-12-24 上映,64854,29.965164,40
来电狂响,2018-12-28 上映,64139,34.942345,14
好东西,2024-11-22 上映,64086,42.165195,6
大侦探皮卡丘,2019-05-10 上映,64070,35.44802,10
惊天魔盗团2,2016-06-24 上映,63771,33.112507,27
让子弹飞,2010-12-16 上映,63675,39.43557,49
环太平洋：雷霆再起,2018-03-23 上映,63323,35.434902,13
影,2018-09-30 上映,62899,35.800556,14
反贪风暴5：最终章,2021-12-31 上映,62895,40.751606,9
后会无期,2014-07-24 上映,62875,31.956974,34
末日崩塌,2015-06-02 上映,62858,37.411068,24
新喜剧之王,2019-02-05 上映,62752,42.586273,24
新木乃伊,2017-06-09 上映,62563,35.19523,16
蝙蝠侠大战超人：正义黎明,2016-03-25 上映,61826,35.59753,23
学爸,2023-08-18 上映,61436,40.663986,10
失控玩家,2021-08-27 上映,61258,38.8606,7
功夫熊猫2,2011-05-28 上映,61175,37.799377,42
神奇女侠,2017-06-02 上映,61014,36.301155,16
狙击手,2022-02-01 上映,60807,44.773643,7
一条狗的使命,2017-03-03 上映,60777,29.967405,15
狄仁杰之四大天王,2018-07-27 上映,60636,39.113647,18
银河护卫队3,2023-05-05 上映,60619,39.27044,8
熊出没·变形记,2018-02-16 上映,60552,35.826714,29
使徒行者,2016-08-11 上映,60538,29.397415,24
李茶的姑妈,2018-09-30 上映,60438,34.69147,15
狄仁杰之神都龙王,2013-09-28 上映,60059,40.039875,30
银河护卫队,2014-10-10 上映,59640,38.591774,23
熊出没·狂野大陆,2021-02-12 上映,59531,43.313114,18
金陵十三钗,2011-12-15 上映,59214,41.266125,40
神奇动物在哪里,2016-11-25 上映,59085,34.902664,21
美女与野兽,2017-03-17 上映,59040,35.080605,16
匆匆那年,2014-12-05 上映,58861,34.74073,24
火星救援,2015-11-25 上映,58571,36.772423,24
超凡蜘蛛侠2,2014-05-04 上映,58538,38.662636,23
2012,2009-11-13 上映,58444,33.303165,46
邪不压正,2018-07-13 上映,58352,35.564896,16
白蛇2：青蛇劫起,2021-07-23 上映,58026,39.02599,7
追龙,2017-09-30 上映,57726,32.49085,20
金手指,2023-12-30 上映,57441,40.460083,7
大鱼海棠,2016-07-08 上映,57378,32.934837,23
少年派的奇幻漂流,2012-11-22 上映,57288,39.428986,38
拯救嫌疑人,2023-11-01 上映,56954,41.7331,5
复仇者联盟,2012-05-05 上映,56827,41.705013,33
杀破狼2,2015-06-18 上映,55966,36.174625,25
新神榜：杨戬,2022-08-19 上映,55563,42.115513,5
爱情公寓,2018-08-10 上映,55545,35.352978,27
涉过愤怒的海,2023-11-25 上映,54926,42.31138,8
哥，你好,2022-09-09 上映,54800,41.6395,4
战狼,2015-04-02 上映,54469,34.260075,25
四海,2022-02-01 上映,54279,53.10474,17
007：幽灵党,2015-11-13 上映,54113,31.537039,28
中国合伙人,2013-05-17 上映,54065,32.14557,27
龙门飞甲,2011-12-15 上映,53992,44.14197,35
英伦对决,2017-09-30 上映,53983,37.63522,19
除暴,2020-11-20 上映,53824,37.086636,8
三生三世十里桃花,2017-08-03 上映,53501,35.14003,24
警察故事2013,2013-12-24 上映,53406,39.545963,25
妖猫传,2017-12-22 上映,53026,35.54714,23
哆啦A梦：伴我同行,2015-05-28 上映,52916,34.66687,22
超能陆战队,2015-02-28 上映,52625,36.70751,25
澳门风云,2014-01-31 上映,52471,32.365917,31
杀破狼·贪狼,2017-08-17 上映,52291,32.32158,18
熊出没·奇幻空间,2017-01-28 上映,52114,34.320858,27
小时代3：刺金时代,2014-07-17 上映,52098,31.580196,33
北京遇上西雅图,2013-03-21 上映,52013,31.550077,31
一步之遥,2014-12-18 上映,51376,42.4509,25
愤怒的小鸟,2016-05-20 上映,51297,31.765776,16
维和防暴队,2024-05-01 上映,51172,41.85894,8
滚蛋吧！肿瘤君,2015-08-13 上映,51045,33.640533,25
动物世界,2018-06-29 上映,50967,36.847546,13
我在时间尽头等你,2020-08-25 上映,50544,35.25194,16
1921,2021-07-01 上映,50476,34.856956,8
黑衣人3,2012-05-25 上映,50345,40.718327,28
独立日：卷土重来,2016-06-24 上映,50219,35.726177,24
云边有个小卖部,2024-06-22 上映,49868,40.519386,6
古墓丽影：源起之战,2018-03-16 上映,49748,35.066303,14
盗梦空间,2010-09-01 上映,49621,30.196854,40
勇敢者游戏：决战丛林,2018-01-12 上映,49196,34.19796,18
千与千寻,2019-06-21 上映,48828,31.226898,12
紧急救援,2020-12-18 上映,48526,38.62036,9
小时代4：灵魂尽头,2015-07-09 上映,48469,30.987238,33
左耳,2015-04-24 上映,48442,33.99673,25
小时代,2013-06-27 上映,48432,31.816536,32
